Size       Cycles/Element for sum_clang6_O: simple C compiled with clang 6 -O -mavx2
16            3.12
32            1.81
64            0.66
128           0.31
256           0.16
512           0.09
1024          0.06
2048          0.04
4096          0.03
8192          0.02
16384         0.03
32768         0.04
65536         0.04
131072        0.05
262144        0.07
524288        0.07
1048576       0.07

Size       Cycles/Element for sum_gcc7_O3: simple C compiled with GCC7 -O3 -mavx2
16            3.25
32            1.19
64            0.66
128           0.38
256           0.23
512           0.17
1024          0.12
2048          0.09
4096          0.08
8192          0.07
16384         0.06
32768         0.06
65536         0.06
131072        0.07
262144        0.07
524288        0.07
1048576       0.07

Size       Cycles/Element for sum_C: simple C compiled on this machine with settings in Makefile
16            2.88
32            1.69
64            1.16
128           0.97
256           0.80
512           0.67
1024          0.66
2048          0.64
4096          0.63
8192          0.62
16384         0.63
32768         0.63
65536         0.63
131072        0.63
262144        0.63
524288        0.64
1048576       0.67

Size       Cycles/Element for sum_simple: simple ASM implementation
16            2.88
32            1.69
64            1.16
128           0.78
256           0.70
512           0.66
1024          0.63
2048          0.62
4096          0.61
8192          0.62
16384         0.61
32768         0.61
65536         0.61
131072        0.62
262144        0.62
524288        0.62
1048576       0.66

Size       Cycles/Element for sum_unrolled2: sum_simple but with 2 iterations
16            2.88
32            1.19
64            0.84
128           0.66
256           0.63
512           0.55
1024          0.52
2048          0.50
4096          0.49
8192          0.49
16384         0.48
32768         0.48
65536         0.48
131072        0.48
262144        0.48
524288        0.48
1048576       0.50

Size       Cycles/Element for sum_unrolled4: sum_unrolled4 but with 4 iterations
16            3.00
32            1.75
64            1.09
128           0.80
256           0.64
512           0.56
1024          0.52
2048          0.50
4096          0.49
8192          0.49
16384         0.48
32768         0.48
65536         0.48
131072        0.48
262144        0.48
524288        0.49
1048576       0.51

