Size       Cycles/Element for sum_clang6_O: simple C compiled with clang 6 -O -mavx2
16            3.12
32            1.75
64            0.56
128           0.30
256           0.14
512           0.08
1024          0.05
2048          0.04
4096          0.03
8192          0.02
16384         0.03
32768         0.04
65536         0.04
131072        0.05
262144        0.06
524288        0.06
1048576       0.06

Size       Cycles/Element for sum_gcc7_O3: simple C compiled with GCC7 -O3 -mavx2
16            3.12
32            1.19
64            0.62
128           0.33
256           0.22
512           0.16
1024          0.12
2048          0.09
4096          0.08
8192          0.07
16384         0.07
32768         0.06
65536         0.06
131072        0.07
262144        0.07
524288        0.07
1048576       0.07

Size       Cycles/Element for sum_C: simple C compiled on this machine with settings in Makefile
16            2.88
32            1.69
64            1.16
128           0.97
256           0.80
512           0.70
1024          0.65
2048          0.64
4096          0.62
8192          0.62
16384         0.61
32768         0.61
65536         0.61
131072        0.61
262144        0.62
524288        0.63
1048576       0.67

Size       Cycles/Element for sum_simple: simple ASM implementation
16            2.88
32            1.25
64            1.16
128           0.95
256           0.70
512           0.66
1024          0.65
2048          0.64
4096          0.63
8192          0.63
16384         0.63
32768         0.63
65536         0.63
131072        0.63
262144        0.63
524288        0.64
1048576       0.67

