Size       Cycles/Element for sum_clang6_O: simple C compiled with clang 6 -O -mavx2
16            3.00
32            1.75
64            0.62
128           0.31
256           0.23
512           0.09
1024          0.06
2048          0.04
4096          0.03
8192          0.03
16384         0.03
32768         0.04
65536         0.04
131072        0.06
262144        0.07
524288        0.08
1048576       0.08

Size       Cycles/Element for sum_gcc7_O3: simple C compiled with GCC7 -O3 -mavx2
16            3.38
32            1.25
64            0.69
128           0.36
256           0.20
512           0.16
1024          0.12
2048          0.10
4096          0.08
8192          0.07
16384         0.07
32768         0.06
65536         0.06
131072        0.07
262144        0.07
524288        0.07
1048576       0.07

Size       Cycles/Element for sum_C: simple C compiled on this machine with settings in Makefile
16            3.00
32            1.75
64            1.19
128           1.02
256           0.81
512           0.71
1024          0.66
2048          0.65
4096          0.63
8192          0.63
16384         0.63
32768         0.63
65536         0.63
131072        0.63
262144        0.62
524288        0.63
1048576       0.66

Size       Cycles/Element for sum_simple: simple ASM implementation
16            2.75
32            1.62
64            1.12
128           0.97
256           0.77
512           0.66
1024          0.66
2048          0.64
4096          0.63
8192          0.63
16384         0.63
32768         0.63
65536         0.63
131072        0.63
262144        0.63
524288        0.64
1048576       0.67

